lord_id,name,alliance_id,alliance_tag,town_center,home_server,in_power_rankings,power,map_id,units_killed,faction,merits,highest_power,legion_power,tech_power,building_power,hero_power,units_dead,units_healed,city_sieges,defeats,victories,scouted,gold,wood,ore,mana,gems,resources_given,resources_given_count,helps_given,gold_spent,wood_spent,stone_spent,mana_spent,gems_spent,killcount_t5,killcount_t4,killcount_t3,killcount_t2,killcount_t1
11021949,Geely 羅佑,179628,B&R,25,156,True,206980294,27010,987975178,Wilderburg,22468937,230552026,146308421,31734406,18820467,10117000,3507938,666389969,305,206583,189926,988,597759712,682608505,577782056,3754890926,20164,170520800,35,164946,14967764876,16101497948,11382789691,10136861236,8752339,513105864,436149180,7088484,1999756,29458115
6898842,Fate一纵横,179628,B&R,25,156,True,204720622,27010,1529471587,League of Order,22581963,264075161,144664129,31734406,18820467,9501620,3494518,870776621,747,385460,204223,680,772788667,657724721,621979342,2919356665,49520,485974136,100,78018,13644741397,13137186327,6016179241,7744431293,3411899,551880022,801135967,51857108,28614703,93534367
7218320,Archangel Lord,179628,B&R,25,156,True,194761411,27010,669066594,Wilderburg,7830789,196108841,132566658,31734406,18820467,11639880,2640383,445629477,398,137217,121152,905,936816976,920273841,647038529,2793798903,81,58224037,12,61236,11240302377,11090703734,7644877410,7301838437,9916869,281866016,319272613,3989921,1845441,61828319
11055044,ᴹᵃᵐᵃ Mia 白迷人,179628,B&R,25,156,True,184380514,27010,764591782,Wilderburg,17723748,217187190,123932811,31734406,18820467,9892830,4530403,646405672,485,264479,137107,581,521427086,504774019,369779186,2806766127,1540,1113043870,233,81515,10677151394,11976833900,6428756849,6303319047,4705406,347726244,299861793,20718509,7684220,88005367
11049691,fate一纵横,179628,B&R,25,156,True,174149196,27010,578354199,Springwardens,11437958,177726212,114734378,31732531,18820467,8861820,1385054,398699445,41,144406,167817,227,1361022908,798716364,577548044,3344712849,60,4166519400,851,82102,14481223700,14039167216,8785210554,7846529370,7085662,287971094,261435243,5626911,1179158,22099724
11020840,Mister藍寶,179628,B&R,25,156,True,173890132,27010,307788057,League of Order,9817931,175219682,115087504,31732531,18065147,9004950,2263362,258339051,119,162198,99195,72,596493866,500150029,462537603,1479949249,687,524233691,106,112232,10559638325,10886313459,7296142036,6117013194,6784849,157681149,138633026,1641419,1086605,8702210
11399110,Teddy一纵横,179628,B&R,25,156,True,162312714,27010,999204498,League of Order,8474661,246629103,103321011,31734406,18820467,8436830,6767987,767437718,275,363451,136581,459,102594752,73831238,45959513,3327510201,1340,6136909407,1230,73085,17286276040,18017681227,7586104105,7948745823,6045730,374906900,520568022,34488267,12428420,56536568
11066471,阿姆阿姆,179628,B&R,25,156,True,147803788,27010,614797027,League of Order,15926922,153995067,89368774,31734406,18820468,7844190,2107815,454546328,552,104499,180685,645,1532261058,1400551618,1057578847,3460427611,1042,6683626113,1340,105930,10720386493,10632266441,7782687328,4972755482,2084042,270461324,263555617,13758248,2981885,63785201
982420,窮撚仇富仔,179628,B&R,25,156,True,142664238,27010,1434637756,Wilderburg,22875153,195624353,83312355,31734406,18820467,8797010,3929892,648087589,1128,143412,193955,562,169836834,220571494,131766280,4332593871,2325,2075149631,428,93061,13275398005,11614952372,8433178223,7457632423,4165578,457477140,777268267,42945512,21765638,134583874
7026495,ᴺᴷᴿᴵBrush一纵横,179628,B&R,25,156,True,141979976,27010,674123498,League of Order,6227814,145906191,83362913,31734406,18820467,8062190,3789238,451576088,968,210170,138748,702,1122741687,993998816,711790122,3262672779,324,4332661147,882,89413,11311243150,11746222668,6406893959,5621062496,846054,215029251,392720535,30462258,11812882,22745148
