lord_id,name,alliance_id,alliance_tag,town_center,home_server,in_power_rankings,power,map_id,units_killed,faction,merits,highest_power,legion_power,tech_power,building_power,hero_power,units_dead,units_healed,city_sieges,defeats,victories,scouted,gold,wood,ore,mana,gems,resources_given,resources_given_count,helps_given,gold_spent,wood_spent,stone_spent,mana_spent,gems_spent,killcount_t5,killcount_t4,killcount_t3,killcount_t2,killcount_t1
1268188,SоuthernLight,278547,ECH1,25,60,True,493654257,27010,1042369418,League of Order,567931,501304117,432774314,31734406,18820467,10325070,3961497,824711396,981,373975,227157,296,494661092,339412468,326597699,1430845264,92,1256142321,254,37393,17915705043,16991611035,9478236395,11371911598,13238522,502975907,463501973,35490366,17048772,22073788
12918179,ᶠᴮᶦ King of Camels,265959,ECH3,25,60,True,434260483,27010,878787196,Wilderburg,13291814,515761983,372684540,31734406,18820467,11021070,2087680,610467814,550,267267,156941,428,1620831114,547815994,634815085,4858673189,24,2991319156,606,78889,54092855428,49065071138,36930898467,34227204604,32327619,350456433,491479489,8507030,4667377,23549487
2807607,NоrthernLight,265959,ECH3,25,60,True,327298972,27010,831892267,League of Order,-,327344602,266616014,31732531,18820467,10129960,4746459,708220229,1133,296645,190707,312,412234390,245534853,290205944,1584045702,229,2995326862,603,47168,14881549567,13410092912,7687479409,8675912113,7729431,410753254,370531244,23201966,8541997,17357371
6420073,Sweetest Buns,278547,ECH1,25,60,True,315389725,27010,1895580267,Wilderburg,16170528,333665565,254596432,31734406,18820467,10235200,6700399,951599701,3231,379723,319340,1333,2307599944,1074536558,1371930169,6704802019,3,1320704857,274,180685,49353321348,40139903216,29573184422,30587130833,19960152,711468839,1090089813,42903811,13850570,33919413
2030204,Broke Talal,265959,ECH3,25,60,True,307765701,27010,1115551481,League of Order,8787342,316006831,245528188,31734406,18820467,11682640,3882886,637098417,304,165649,281027,374,1228688430,1253347382,981465882,2326537314,455,533423949,113,131853,12145768363,12197807706,7355900841,7940211466,10039173,567386739,444070596,7637990,3297747,92959179
2436361,ᴸᴵᴳᴴᵀSAOKirito,265959,ECH3,25,60,True,270662272,27010,1250636557,League of Order,16684651,310833972,209988369,31734406,18820467,10119030,3324443,831053899,252,338750,277470,641,721631513,659230659,623242087,1471427943,62,854430376,238,86068,27606701698,25461406050,15593839741,18004724147,12963419,610375615,582998875,19178979,6811987,31032185
1185328,ᶜʸᵇメTʜᴇKɪʀᴀᴛɪ,265959,ECH3,25,60,True,267624392,27010,939033275,League of Order,2786388,267637392,208674858,31734406,18820468,8394660,1322402,691578845,442,179981,276019,238,481254488,417379521,285768273,3441834028,5512,9410843082,1910,68825,8790648873,8760896635,6831226118,6031440470,4641625,487059963,372638741,17391804,7102825,54235218
11237273,ᶜʰᵃᵒˢメdudu,265959,ECH3,25,60,True,249593806,27010,842781640,League of Order,7171253,250039237,190600623,31734406,18820467,8438310,4082164,491033211,655,158871,176172,192,907799325,708961463,309362664,2361057471,1967,871738671,179,50584,11374148453,10563423630,7303940640,6697914261,3611858,310816492,458169319,16545992,3835994,53142923
1661778,Broke loco,265959,ECH3,25,60,True,244648715,27010,1297246998,League of Order,30327576,277741816,183448322,31734406,18820467,10645520,5762481,913617129,412,295416,229467,797,377072800,245960276,179718380,1146089755,31,1887572412,388,85393,19571833131,19047531311,12187495407,12271630246,7046916,631402196,540733382,12889916,3771902,108105083
1652362,ChiefYahoo,278547,ECH1,25,60,True,239484473,27010,868922039,League of Order,12899080,239835263,177954080,31734406,18820467,10975520,3645873,675408005,1339,267851,187857,1239,1339091706,915535526,915599689,4086662335,82,1142892359,257,159324,18670882995,17145378630,8625536624,11362919214,8274569,470873298,290365670,24966328,17815435,62404418
3649177,taj,265959,ECH3,25,60,True,235614737,27010,637128252,Wilderburg,10068271,236126627,174893729,31732531,18820467,10168010,4599165,622563012,1068,280572,130380,145,178812560,307714369,391765168,882332652,50,5866736870,1218,82113,25394938720,19890059843,18076436526,15480460760,8751746,359995046,253294352,5753827,3284116,13846280
3643306,Broke RynoS,278547,ECH1,25,60,True,233857244,27010,1226056967,League of Order,10479336,234653884,173660656,31732531,18820467,9643590,5770793,912441477,826,269297,363181,629,436367998,343409902,526277401,2108353672,123,2912292339,622,89532,28309356243,25896332130,18826859761,18728511800,6648114,649183256,515826523,20148682,8444171,32027626
3277518,iEmperor,265959,ECH3,25,60,True,232554522,27010,1693569220,Wilderburg,18951550,319696112,170778839,31734406,18820467,11220810,6655904,1075797921,1147,419236,370396,977,191229326,77383760,92174222,516477431,100,6114600231,1263,99884,30529807323,27055306979,18754792094,18766526331,12504893,795298615,775263871,47245678,20061412,54701663
1182144,Thempire,278547,ECH1,25,60,True,225743708,27010,647921486,League of Order,6132887,225831948,165492235,31734406,18820467,9696600,2867071,486713838,373,145991,227507,908,1159288076,1379379106,1417783271,4609820424,335,2600000,1,90211,13086342712,14548390463,9169901872,8988476527,5421769,392959915,214190335,8397369,3478685,28671607
4711167,야인Amazon,265959,ECH3,25,60,True,225194898,27010,1471946627,League of Order,28031201,233253202,165687625,31734406,18820467,8952400,5744785,901656153,722,261715,402263,903,1380433275,763469216,907223538,1378958696,206,3708834128,774,98241,58422145831,43117130196,30967529092,32142047215,13464097,879837182,514997126,8683812,4659528,63417406
4508709,Sky Inf Slave,265959,ECH3,25,60,True,217691403,27010,269330030,League of Order,6948977,217691403,159265900,31734406,18820467,7870630,923344,152361642,363,46160,52002,134,40387124,33370652,27308923,759759543,1514,6377958938,1282,21614,7708838975,7015847659,5297344667,3304367203,4693013,70876672,173345038,14567736,4474891,5679554
1542026,taeyeоn,278547,ECH1,25,60,True,213526692,27010,1302838176,Wilderburg,12430275,252873194,152806209,31734406,18820467,10165610,6582084,784216526,561,241762,301992,1443,574330047,528853277,948253310,4034487773,162,6961262610,1474,128654,19264774890,15677914424,9334625107,10451499890,5028541,692133681,525702621,25099735,11676068,47543141
2286961,ᶜʰᵃᵒˢメTempy,278547,ECH1,25,60,True,211451297,27010,1915289335,League of Order,24931201,237566057,150302884,31734406,18820467,10593540,6545465,1002141352,912,363925,457700,3246,1097459523,597519180,658164778,7322743797,859,3010759873,663,112720,37899063368,35022655175,24999185316,26078243771,8492356,1068432170,763547000,36798576,13350149,31937974
7767962,ᴹᴵᴸᴷＧｅｎｅｓｉｓ,265959,ECH3,25,60,True,210481164,27010,723828982,League of Order,22613024,302966691,149900591,31734406,18820467,10025700,3131248,412514444,277,176009,237204,445,446331535,380179004,319415403,1298199589,20,561610803,133,89962,19315632542,16095792539,10184565428,11658024596,12403007,356389241,299162829,29470035,19326479,19266735
2380639,ᵉᶜʰᵒNash,265959,ECH3,25,60,True,209593238,27010,695420792,League of Order,8506417,209593238,149363115,31734406,18820467,9675250,1844445,399909225,173,113127,218200,2206,1135949265,1991732413,1544813334,3097378880,570,362007047,90,119860,10783362706,10219524492,4715828614,6376532613,7443938,318837740,322134922,21312292,6650639,26218405
