lord_id,alliance_id,alliance_tag,map_id,name,power,units_killed,town_center,faction,home_server,merits,highest_power,legion_power,tech_power,building_power,hero_power,units_dead,units_healed,city_sieges,defeats,victories,scouted,gold,wood,ore,mana,gems,resources_given,resources_given_count,helps_given,gold_spent,wood_spent,stone_spent,mana_spent,gems_spent,killcount_t5,killcount_t4,killcount_t3,killcount_t2,killcount_t1
12918179,183458,ECHO,27010,Candice Dickfit,515751653,878787196,25,Wilderburg,60,13291814,516323983,454445640,31734406,18820467,10751140,2087680,623626504,550,267267,157689,428,1620831114,547815994,634815649,4858673189,24,2991319156,606,79376,54111473428,49085135138,36944722467,34240718604,32362934,350456433,491479489,8507030,4667377,23549487
1268188,183458,ECHO,27010,SоuthernLight,498019217,1042886260,25,League of Order,60,902421,501662817,437004574,31734406,18820467,10459770,3961497,826436551,981,375600,227809,296,494661092,339412468,326597699,1430845264,92,1256142321,254,37435,17929085043,17006352035,9487836395,11380991598,13331789,503478426,463516296,35490366,17048772,22073788
2807607,183458,ECHO,27010,NоrthernLight,324366082,831983419,25,League of Order,60,66015,327597822,263668704,31732531,18820467,10144380,4748216,708319299,1133,297209,191270,312,412234390,245534853,290205944,1584045702,229,2995326862,603,47210,14895299567,13425521912,7697847409,8685512113,7732795,410843792,370531858,23201966,8541997,17357371
6420073,183458,ECHO,27010,Dustinᵂᵃˡˡᶠˡᵒʷᵉʳ,290025875,1908340075,25,Wilderburg,60,21710679,333665565,229220102,31734406,18820467,10250900,6812268,966489794,3231,392510,323996,1335,2309076648,1074536558,1389171758,6805051874,3,1320704857,274,181972,49699965984,40377208991,29795776224,30751412788,20250494,723193327,1090862578,42903833,13852289,34180227
2436361,183458,ECHO,27010,ᴸᴵᴳᴴᵀSAOKirito,286436032,1264204404,25,League of Order,60,23170989,310833972,225591329,31734406,18820467,10289830,3465286,849022423,252,355279,283042,642,721631513,659230659,623242087,1471470325,62,854430376,238,86276,28019295698,25852669050,15675055741,18243720147,12982855,623281933,583579670,19178989,6812144,31112752
2030204,183458,ECHO,27010,Broke Talal,262514401,1127775820,25,League of Order,60,13771291,316006831,200020058,31734406,18820467,11939470,4041942,651571432,305,176018,285490,377,1228688430,1253347382,981766226,2326537314,455,533423949,113,132007,12465019396,12606370205,7749448408,8228291548,10180728,578854864,444504598,7638040,3310154,93263704
1661778,183458,ECHO,27010,Broke loco,258757987,1324283985,25,League of Order,60,41359634,277741816,197448994,31734406,18820467,10754120,5976729,944072019,414,315452,237390,798,377072800,245960276,179718380,1148488808,31,1887572412,388,86259,20469205854,19704528398,12933338903,12906835123,7174492,657067455,541599647,12889916,3772076,108605533
3649325,183458,ECHO,27010,Babycakey,242334884,807987271,25,League of Order,60,12713583,246977374,181862951,31734406,18820467,9917060,3874741,579514415,182,226153,220931,839,204855797,169777673,83697290,1318881011,313,3514596011,844,91992,15960487587,14479545911,7983995140,9052597200,6698293,362723935,360825723,45083196,15916434,23201195
1652362,183458,ECHO,27010,ChiefYahoo,239647473,878156758,25,League of Order,60,16221231,239835263,178133690,31734406,18820467,10958910,3649912,683787154,1354,270979,192112,1248,1340885492,918181526,915599689,4133981995,82,1617892359,352,160345,18928041485,17429450035,8867924114,11429172214,8387541,478404397,291127900,25008718,18034070,63076217
1185328,183458,ECHO,27010,ᴮʳᵒᵏᵉ Wavy,237864661,944901340,25,League of Order,60,5127056,268004391,178811498,31734406,18820467,8492880,1322402,696235661,442,183452,278251,238,481254488,417379521,285768273,3468395025,5512,9410843082,1910,69188,8826579873,8796055635,6860026118,6040774470,4669285,491422700,373471875,17391806,7102860,54907375
