lord_id,name,alliance_id,alliance_tag,town_center,home_server,in_power_rankings,power,map_id,units_killed,faction,merits,highest_power,legion_power,tech_power,building_power,hero_power,units_dead,units_healed,city_sieges,defeats,victories,scouted,gold,wood,ore,mana,gems,resources_given,resources_given_count,helps_given,gold_spent,wood_spent,stone_spent,mana_spent,gems_spent,killcount_t5,killcount_t4,killcount_t3,killcount_t2,killcount_t1
3259177,ᴮᴱᴿᵁBaby Majin ʚïɞ,196183,-IR-,25,193,True,205106822,193,638224486,League of Order,3517581,205106822,144249019,31734406,18820467,10302930,227476,304755838,62,53902,118187,226,775204354,796852788,1423240083,2402650617,10,6836824009,1412,143356,4923135072,5192564628,4338128152,2620508772,4860894,113379850,345488210,27160793,9139772,142820841
8128713,TriggosOBerry,196183,-IR-,25,193,True,204634774,27017,1252323852,League of Order,-,204708974,145715080,31734406,18820468,8364800,4945194,575191230,1639,171452,176004,1348,717434518,653015971,510512519,4512483681,3149,1509290115,322,125952,9997084275,9229524796,4206068310,5155161446,3869877,315670710,811599763,33887111,8376093,81946676
7787716,IMightBeKex,196183,-IR-,25,193,True,168376672,27017,726899591,Wilderburg,-,168376672,108868654,31732531,18820467,8951850,999517,434296760,128,82337,186050,752,885033438,754356614,550251514,1841381806,23754,2124143598,458,149344,9633877566,6656352903,5222574603,4219890192,4739066,254446251,353597680,12173243,4784024,101848452
8159557,DaHaSh 乂,196183,-IR-,25,193,True,147096002,27017,630691681,Springwardens,-,147096002,87709294,31732531,18820467,8833710,1606590,445567385,384,92602,119498,927,763493605,513324295,620064368,1704852744,332,2548795100,532,91099,8299282209,8587837924,4852926703,4589635167,4210520,207821863,386740882,8198237,4494450,23154150
8180277,MP 愛 ᴱᴳᴼ,196183,-IR-,25,193,True,142787345,27017,1068124312,League of Order,-,142787345,83946177,31732531,18820467,8286600,493225,451628469,67,69256,247830,971,1443552939,1237875306,1137174987,3126147258,9662,3780964396,797,164533,10841936171,10762413502,7389316921,6041134047,2795383,353863001,606754985,33896189,10113459,63396447
7806387,Shadow Drone,196183,-IR-,25,193,True,141956177,27017,591668391,Wilderburg,-,141960167,83084244,31734406,18820467,8249960,2973852,345775503,294,71456,100928,1034,483391049,232665561,104863611,608428152,2000,587692692,126,50868,12875667039,11806751517,7872787626,7856402884,4978438,166555179,369993182,8507929,4306773,42065536
8090257,ᴵᴿGunterXBomber,196183,-IR-,25,193,True,138694408,27017,457391637,League of Order,-,138694408,79451575,31734406,18820467,8461370,1412396,381541583,574,88936,131200,285,1190515701,747289429,1339897904,2505400147,1345,4018807061,880,145610,7814322763,7651781352,4229180927,4726443527,2697072,151441658,263175372,10785531,4094847,27722228
7419084,RIPRedBerry,196183,-IR-,25,193,True,134847999,193,432489608,League of Order,7654394,134847999,77172630,31732531,18820468,7122370,601434,314423707,196,51109,100446,270,1082807481,890674571,754602696,1486838818,20,1743873398,354,74626,6022635443,5009726170,3596350043,3174014167,353879,126198392,257980481,9365507,4640837,34215545
4692688,Dresdan,196183,-IR-,25,193,True,133627288,27017,281642669,League of Order,-,133631178,73353930,31732531,18820467,9644510,643040,295076841,16,73760,113597,80,1963726550,2304818009,1127396453,1900841429,70,-,-,95653,9320260633,10437327668,5864768780,6111671937,5124257,134431178,129633636,1601646,997139,14927704
7855866,Zylas,-,-,25,193,True,128979020,193,550856116,League of Order,19574153,128979020,70995152,31732531,18820467,7430870,1603751,420131386,189,68120,175567,501,2926756093,1793082545,1383563253,2389689118,31433,935193628,204,190122,9449108925,8669368938,5193632254,5213886808,2578412,197407423,241553648,2173052,2355396,107220453
